EV,Congestion,Optimal Path,Energy (kWh),Time (h),Energy (kWh/100km)
EV 1,25%,1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 0 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27,0.2564,0.0922,6.95
EV 2,25%,23 → 12 → 22 → 12 → 22 → 12 → 22 → 12 → 22 → 12 → 22 → 12 → 22 → 12 → 22 → 12 → 22 → 12 → 22 → 12 → 22 → 12 → 22 → 12 → 22 → 12 → 22 → 12 → 22 → 12 → 22 → 12 → 22 → 12 → 22 → 12 → 22 → 12 → 22 → 12 → 22 → 12 → 22 → 12 → 22 → 12 → 22 → 12 → 22 → 12 → 22 → 12 → 22 → 12 → 22 → 12 → 22 → 12 → 22 → 12 → 22 → 12 → 22 → 12 → 22 → 12 → 22 → 12 → 22 → 12 → 22 → 12 → 22 → 12 → 22 → 12 → 22 → 12 → 22 → 12 → 22 → 12 → 22 → 12 → 22 → 12 → 22 → 12,1.5051,0.5413,6.95
EV 3,25%,20 → 19 → 7 → 19 → 7 → 19 → 7 → 19 → 7 → 19 → 7 → 19 → 7 → 19 → 7 → 19 → 7 → 19 → 7 → 19 → 7 → 19 → 7 → 19 → 7 → 19 → 7 → 19 → 7 → 19 → 7 → 19 → 7 → 19 → 7 → 19 → 7 → 19 → 7 → 19 → 7 → 19 → 7 → 19 → 7 → 19 → 7 → 19 → 7 → 19 → 7 → 19 → 7 → 19 → 7 → 19 → 7 → 19 → 7 → 19 → 7 → 19 → 7 → 19 → 7 → 19 → 7 → 19 → 7 → 19 → 7 → 19 → 7 → 19 → 7 → 19 → 7 → 19 → 7 → 19 → 7 → 19 → 7 → 19 → 7 → 19 → 7 → 19,0.7550,0.2715,6.95
EV 4,25%,14 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26,0.8723,0.3137,6.95
EV 5,25%,14 → 26 → 4 → 26 → 4 → 26 → 4 → 26 → 4 → 26 → 4 → 26 → 4 → 26 → 4 → 26 → 4 → 26 → 4 → 26 → 4 → 26 → 4 → 26 → 4 → 26 → 4 → 26 → 4 → 26 → 4 → 26 → 4 → 26 → 4 → 26 → 4 → 26 → 4 → 26 → 4 → 26 → 4 → 26 → 4 → 26 → 4 → 26 → 4 → 26 → 4 → 26 → 4 → 26 → 4 → 26 → 4 → 26 → 4 → 26 → 4 → 26 → 4 → 26 → 4 → 26 → 4 → 26 → 4 → 26 → 4 → 26 → 4 → 26 → 4 → 26 → 4 → 26 → 4 → 26 → 4 → 26 → 4 → 26 → 4 → 26 → 4 → 26,1.4917,0.5365,6.95
EV 1,50%,1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27,0.2452,0.0882,6.95
EV 2,50%,23 → 8 → 12 → 8 → 12 → 8 → 12 → 8 → 12 → 8 → 12 → 8 → 12 → 8 → 12 → 8 → 12 → 8 → 12 → 8 → 12 → 8 → 12 → 8 → 12 → 8 → 12 → 8 → 12 → 8 → 12 → 8 → 12 → 8 → 12 → 23 → 8 → 12 → 8 → 12 → 8 → 12 → 8 → 12 → 8 → 12 → 8 → 12 → 8 → 12 → 8 → 12 → 8 → 12 → 8 → 12 → 8 → 12 → 8 → 12 → 8 → 12 → 8 → 12 → 8 → 12 → 8 → 12 → 8 → 12 → 8 → 12 → 8 → 12 → 8 → 12 → 8 → 12 → 8 → 12 → 8 → 12 → 8 → 12 → 8 → 12 → 8 → 12,0.3187,0.1146,6.95
EV 3,50%,20 → 19 → 11 → 17 → 19 → 11 → 17 → 19 → 11 → 17 → 19 → 11 → 17 → 19 → 11 → 17 → 19 → 11 → 17 → 19 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 19 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11 → 17 → 11,0.4065,0.1462,6.95
EV 4,50%,14 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 28 → 4 → 13 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26 → 18 → 26,0.8578,0.3085,6.95
EV 5,50%,14 → 26 → 28 → 3 → 26 → 28 → 3 → 26 → 3 → 26 → 14 → 26 → 14 → 26 → 14 → 26 → 14 → 26 → 14 → 26 → 14 → 26 → 3 → 26 → 14 → 26 → 14 → 26 → 14 → 26 → 14 → 26 → 3 → 26 → 14 → 26 → 28 → 3 → 26 → 14 → 26 → 14 → 26 → 14 → 26 → 3 → 26 → 14 → 26 → 14 → 26 → 14 → 26 → 3 → 26 → 14 → 26 → 14 → 26 → 14 → 26 → 3 → 26 → 28 → 3 → 26 → 14 → 26 → 14 → 26 → 3 → 26 → 14 → 26 → 14 → 26 → 3 → 26 → 14 → 26 → 14 → 26 → 3 → 26 → 14 → 26 → 3 → 26,0.7176,0.2581,6.95
