EV,Congestion,Optimal Path,Energy (kWh),Time (h),Energy (kWh/100km)
EV 1,25%,28 → 18 → 14 → 7 → 11 → 17 → 7 → 11 → 17 → 7 → 11 → 17 → 7 → 11 → 17 → 7 → 11 → 17 → 7 → 11 → 17 → 7 → 11 → 17 → 7 → 11 → 17 → 7 → 11 → 17 → 7 → 11 → 17 → 7 → 11 → 17 → 7 → 11 → 17 → 7 → 11 → 17 → 7 → 11 → 17 → 7 → 11 → 17 → 7 → 11 → 17 → 7 → 11 → 17 → 7 → 11 → 17 → 7 → 11 → 17 → 7 → 11 → 17 → 7 → 11 → 17 → 7 → 11 → 17 → 7 → 11 → 17 → 7 → 11 → 17 → 7 → 11 → 17 → 7 → 11 → 17 → 7 → 11 → 17 → 7 → 11 → 17 → 7,0.4192,0.1508,6.95
EV 2,25%,14 → 10 → 17 → 11 → 21 → 7 → 11 → 21 → 7 → 11 → 21 → 7 → 11 → 21 → 7 → 11 → 21 → 7 → 11 → 21 → 7 → 11 → 21 → 7 → 11 → 21 → 7 → 11 → 21 → 7 → 11 → 21 → 7 → 11 → 21 → 7 → 11 → 21 → 7 → 11 → 21 → 7 → 11 → 21 → 7 → 11 → 21 → 7 → 11 → 21 → 7 → 11 → 21 → 7 → 11 → 21 → 7 → 11 → 21 → 7 → 11 → 21 → 7 → 11 → 21 → 7 → 11 → 21 → 7 → 11 → 21 → 7 → 11 → 21 → 7 → 11 → 21 → 7 → 11 → 21 → 7 → 11 → 21 → 7 → 11 → 21 → 7 → 11,0.5115,0.8661,6.95
EV 3,25%,20 → 19 → 11 → 7 → 20 → 19 → 11 → 7 → 20 → 19 → 11 → 7 → 20 → 19 → 11 → 7 → 20 → 19 → 11 → 7 → 20 → 19 → 11 → 7 → 20 → 19 → 11 → 7 → 20 → 19 → 11 → 7 → 20 → 19 → 11 → 7 → 20 → 19 → 11 → 7 → 20 → 19 → 11 → 7 → 20 → 19 → 11 → 7 → 20 → 19 → 11 → 7 → 20 → 19 → 11 → 7 → 20 → 19 → 11 → 7 → 20 → 19 → 11 → 7 → 20 → 19 → 11 → 7 → 20 → 19 → 11 → 7 → 20 → 19 → 11 → 7 → 20 → 19 → 11 → 7 → 20 → 19 → 11 → 7 → 20 → 19 → 11 → 7,0.7216,0.2595,6.95
EV 4,25%,15 → 2 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1 → 27 → 1,0.5294,0.1904,6.95
EV 5,25%,3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28 → 3 → 28,0.6598,0.2373,6.95
EV 1,50%,28 → 4 → 26 → 14 → 7 → 10 → 24 → 5 → 14 → 10 → 24 → 5 → 24 → 26 → 4 → 26 → 14 → 7 → 10 → 24 → 5 → 14 → 10 → 24 → 26 → 4 → 26 → 14 → 7 → 10 → 24 → 18 → 26 → 4 → 26 → 14 → 10 → 24 → 18 → 26 → 4 → 26 → 14 → 7 → 10 → 24 → 18 → 26 → 3 → 26 → 3 → 26 → 3 → 26 → 3 → 26 → 3 → 26 → 4 → 26 → 14 → 7 → 11 → 19 → 17 → 21 → 19 → 17 → 11 → 7 → 10 → 24 → 18 → 26 → 3 → 26 → 3 → 26 → 4 → 26 → 14 → 10 → 24 → 5 → 24 → 26 → 14 → 7,0.6020,0.2165,6.95
EV 2,50%,14 → 10 → 24 → 5 → 16 → 15 → 16 → 15 → 16 → 15 → 16 → 15 → 16 → 15 → 16 → 15 → 16 → 5 → 16 → 15 → 16 → 5 → 16 → 15 → 1 → 15 → 16 → 5 → 16 → 15 → 1 → 2 → 15 → 16 → 5 → 16 → 12 → 8 → 23 → 0 → 23 → 0 → 23 → 0 → 23 → 0 → 23 → 0 → 23 → 0 → 23 → 0 → 23 → 0 → 23 → 0 → 23 → 0 → 23 → 0 → 23 → 0 → 23 → 0 → 23 → 0 → 23 → 0 → 23 → 0 → 23 → 0 → 23 → 0 → 23 → 0 → 23 → 0 → 23 → 0 → 23 → 0 → 23 → 0 → 23 → 0 → 23 → 0,0.5476,0.1969,6.95
EV 3,50%,20 → 7 → 14 → 17 → 11 → 25 → 8 → 25 → 8 → 25 → 8 → 12 → 16 → 22 → 8 → 25 → 8 → 12 → 16 → 22 → 8 → 25 → 8 → 12 → 16 → 22 → 8 → 25 → 8 → 12 → 16 → 22 → 8 → 25 → 8 → 12 → 16 → 22 → 8 → 25 → 8 → 12 → 16 → 22 → 8 → 25 → 8 → 12 → 16 → 22 → 8 → 25 → 11 → 25 → 11 → 25 → 11 → 25 → 11 → 25 → 11 → 25 → 11 → 25 → 8 → 12 → 16 → 22 → 25 → 8 → 25 → 8 → 12 → 16 → 22 → 8 → 23 → 8 → 23 → 8 → 23 → 8 → 23 → 8 → 23 → 8 → 23 → 8,0.8180,0.9763,6.95
EV 4,50%,15 → 12 → 22 → 16 → 12 → 22 → 16 → 12 → 15 → 12 → 22 → 16 → 12 → 15 → 12 → 22 → 16 → 12 → 15 → 12 → 22 → 16 → 12 → 15 → 12 → 22 → 16 → 23 → 8 → 25 → 8 → 25 → 8 → 25 → 8 → 25 → 8 → 25 → 8 → 25 → 8 → 25 → 8 → 25 → 8 → 25 → 22 → 16 → 12 → 15 → 12 → 16 → 12 → 22 → 16 → 12 → 15 → 12 → 16 → 12 → 22 → 16 → 12 → 15 → 12 → 16 → 12 → 22 → 0 → 23 → 8 → 22 → 23 → 8 → 23 → 22 → 16 → 12 → 15 → 12 → 23 → 0 → 23 → 6 → 23 → 6 → 23 → 6,0.7013,0.2522,6.95
EV 5,50%,3 → 4 → 3 → 4 → 3 → 4 → 28 → 4 → 3 → 4 → 28 → 18 → 13 → 3 → 4 → 28 → 4 → 3 → 28 → 18 → 13 → 3 → 4 → 28 → 4 → 3 → 28 → 18 → 13 → 18 → 13 → 26 → 24 → 26 → 24 → 26 → 24 → 26 → 24 → 26 → 24 → 26 → 24 → 26 → 18 → 13 → 18 → 13 → 3 → 4 → 28 → 3 → 28 → 18 → 13 → 26 → 18 → 13 → 3 → 4 → 3 → 28 → 4 → 28 → 3 → 28 → 4 → 28 → 18 → 13 → 18 → 28 → 3 → 4 → 3 → 28 → 4 → 28 → 18 → 13 → 4 → 3 → 4 → 28 → 3 → 28 → 4 → 3,0.5587,0.2010,6.95
